Ticker,CIEN,CIEN,CIEN,CIEN,CIEN,FRES.L,FRES.L,FRES.L,FRES.L,FRES.L,MU,MU,MU,MU,MU,TER,TER,TER,TER,TER,WDC,WDC,WDC,WDC,WDC
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,254.190002,254.820007,221.119995,230.199997,3456200.0,3678.0,3678.0,3432.0,3538.0,1740258.0,343.429993,344.549988,318.059998,318.279999,48732400.0,228.839996,229.660004,219.619995,220.949997,3377900.0,219.380005,221.229996,188.360001,189.619995,17178400.0
2026-01-07,259.269989,261.130005,248.990005,253.0,3220700.0,3500.0,3670.0,3336.0,3666.0,1213180.0,339.549988,346.299988,337.179993,340.709991,32781100.0,222.479996,226.759995,219.309998,225.610001,2518400.0,199.880005,212.850006,195.119995,211.990005,14305000.0
2026-01-08,225.210007,259.0,221.139999,258.26001,4574100.0,3440.0,3522.0,3382.0,3468.0,2457548.0,327.019989,343.660004,321.359985,342.899994,33897700.0,216.309998,221.399994,212.639999,221.399994,3141800.0,187.679993,200.899994,180.699997,200.509995,11902300.0
2026-01-09,230.559998,230.860001,216.070007,219.279999,2772100.0,3506.0,3588.0,3414.0,3484.0,949964.0,345.089996,345.799988,326.190002,332.75,33387500.0,217.259995,219.419998,215.660004,215.740005,2569900.0,200.460007,200.919998,186.0,187.850006,9887700.0
2026-01-12,234.259995,234.270004,223.5,227.589996,2240000.0,3734.0,3784.0,3654.0,3654.0,1160705.0,345.869995,348.470001,339.320007,340.549988,23152600.0,224.360001,226.210007,216.580002,217.940002,2448100.0,212.139999,213.429993,193.5,193.5,7465400.0
2026-01-13,246.419998,249.960007,234.259995,234.899994,1699200.0,3782.0,3782.0,3686.0,3738.0,1667340.0,338.130005,351.230011,335.220001,346.269989,23881300.0,229.270004,230.320007,224.360001,224.360001,2313900.0,214.0,218.0,208.479996,209.259995,6485600.0
2026-01-14,238.380005,245.800003,233.169998,244.910004,1776700.0,3766.0,3928.0,3738.0,3890.0,2395050.0,333.350006,339.100006,328.200012,334.839996,20277200.0,230.190002,231.130005,224.610001,227.5,2423500.0,215.0,218.520004,210.139999,214.0,5611900.0
2026-01-15,243.789993,252.199997,243.350006,245.0,1747700.0,3754.0,3774.0,3580.0,3700.0,1333832.0,336.630005,347.769989,336.269989,345.329987,25370200.0,227.699997,238.919998,227.479996,236.160004,3459800.0,222.100006,230.479996,221.0,223.899994,7536200.0
2026-01-16,243.419998,253.899994,241.550003,247.089996,2056200.0,3746.0,3788.0,3662.0,3696.0,765480.0,362.75,365.809998,352.040009,353.100006,47901900.0,228.149994,232.089996,225.649994,229.639999,2298000.0,221.509995,229.990005,216.830002,228.789993,8972800.0
2026-01-19,,,,,,3996.0,3996.0,3842.0,3912.0,1130795.0,,,,,,,,,,,,,,,
2026-01-20,241.210007,246.210007,227.369995,229.149994,2737900.0,3976.0,4078.0,3922.0,4000.0,952653.0,365.0,381.559998,361.350006,364.679993,49744900.0,223.979996,229.070007,220.320007,220.419998,2627800.0,222.970001,230.270004,220.0,220.800003,7125400.0
2026-01-21,231.889999,242.0,226.820007,241.520004,2884900.0,4050.0,4086.0,3950.0,4060.0,1222620.0,389.109985,394.200012,366.730011,372.850006,56712800.0,231.889999,234.839996,225.710007,229.190002,3005500.0,241.899994,244.899994,226.100006,228.009995,9447100.0
2026-01-22,230.029999,239.119995,222.869995,236.619995,2095000.0,4084.0,4094.0,3908.0,3992.0,1455490.0,397.579987,397.779999,376.920013,396.640015,39607600.0,229.139999,238.0,226.300003,237.800003,2807300.0,243.289993,247.940002,228.350006,246.710007,8926900.0
2026-01-23,229.139999,232.029999,220.520004,229.160004,1806100.0,4168.0,4190.0,4030.0,4090.0,842739.0,399.649994,412.429993,390.73999,397.160004,35320400.0,229.179993,230.199997,224.160004,228.479996,1830000.0,236.389999,243.25,232.199997,240.75,6100800.0
